ID,Automated,Regression,Section,Section Depth
C39426, Yes, Regular Regression,C-AR - Customer Invoice Listing Page,2
C39427, Yes, Regular Regression,C-AR - Customer Invoice Listing Page,2
C39428, No, Regular Regression,C-AR - Customer Invoice Listing Page,2
C33719, No, Regular Regression,Division Dropdown,4
C33720, No, Regular Regression,Division Dropdown,4
C33721, No, Regular Regression,Division Dropdown,4
C33764, Yes, Regular Regression,Curreny Dropdown,4
C33765, Yes, Regular Regression,Curreny Dropdown,4
C33766, No, Regular Regression,Curreny Dropdown,4
C35961, Yes, Regular Regression,Statements,4
C35962, Yes, Regular Regression,Statements,4
C35963, Yes, Regular Regression,Statements,4
C35964, Yes, Regular Regression,Statements,4
C35965, Yes, Regular Regression,Statements,4
C35966, Yes, Regular Regression,Statements,4
C35967, Yes, Regular Regression,Statements,4
C35968, Yes, Regular Regression,Statements,4
C35969, Yes, Regular Regression,Statements,4
C35970, Yes, Regular Regression,Statements,4
C35971, Yes, Regular Regression,Statements,4
C35972, Yes, Regular Regression,Statements,4
C35973, Yes, Regular Regression,Statements,4
C35974, Yes, Regular Regression,Statements,4
C35975, Yes, Regular Regression,Statements,4
C35976, Yes, Regular Regression,Statements,4
C35977, Yes, Regular Regression,Statements,4
C35978, Yes, Regular Regression,Statements,4
C35979, Yes, Regular Regression,Statements,4
C35980, Yes, Regular Regression,Statements,4
C35981, Yes, Regular Regression,Statements,4
C35982, Yes, Regular Regression,Statements,4
C35983, Yes, Regular Regression,Statements,4
C35984, Yes, Regular Regression,Statements,4
C35985, Yes, Regular Regression,Statements,4
C35986, Yes, Regular Regression,Statements,4
C35987, Yes, Regular Regression,Statements,4
C35988, Yes, Regular Regression,Statements,4
C35989, Yes, Regular Regression,Statements,4
C35990, Yes, Regular Regression,Statements,4
C35991, Yes, Regular Regression,Statements,4
C35992, Yes, Regular Regression,Statements,4
C35993, Yes, Regular Regression,Statements,4
C35994, Yes, Regular Regression,Statements,4
C35995, No, Regular Regression,Statements,4
C35996, Yes, Regular Regression,Statements,4
C35997, Yes, Regular Regression,Statements,4
C35998, Yes, Regular Regression,Statements,4
C36000, Yes, Regular Regression,Statements,4
C36001, Yes, Regular Regression,Statements,4
C36002, Yes, Regular Regression,Statements,4
C36003, Yes, Regular Regression,Statements,4
C36004, Yes, Regular Regression,Statements,4
C36005, Yes, Regular Regression,Statements,4
C36006, Yes, Regular Regression,Statements,4
C36007, Yes, Regular Regression,Statements,4
C36008, Yes, Regular Regression,Statements,4
C36010, Yes, Regular Regression,Statements,4
C36011, Yes, Regular Regression,Statements,4
C36012, Yes, Regular Regression,Statements,4
C36013, Yes, Regular Regression,Statements,4
C36014, Yes, Regular Regression,Statements,4
C33835, No, Regular Regression,SearchBox,3
C33836, No, Regular Regression,SearchBox,3
C33837, Yes, Regular Regression,SearchBox,3
C33893, No, Regular Regression,SearchBox,3
C36800, Yes, Regular Regression,General Filters - Open Items / What should i Pay / Incentives / Scheduled Payment  / Invoices I can approve / More,4
C36801, Yes, Regular Regression,General Filters - Open Items / What should i Pay / Incentives / Scheduled Payment  / Invoices I can approve / More,4
C36802, No, Regular Regression,General Filters - Open Items / What should i Pay / Incentives / Scheduled Payment  / Invoices I can approve / More,4
C36803, Yes, Regular Regression,General Filters - Open Items / What should i Pay / Incentives / Scheduled Payment  / Invoices I can approve / More,4
C36807, Yes, Regular Regression,General Filters - Open Items / What should i Pay / Incentives / Scheduled Payment  / Invoices I can approve / More,4
C36836, No, Regular Regression,General Filters - Open Items / What should i Pay / Incentives / Scheduled Payment  / Invoices I can approve / More,4
C36837, No, Regular Regression,General Filters - Open Items / What should i Pay / Incentives / Scheduled Payment  / Invoices I can approve / More,4
C36818, Yes, Regular Regression,More - Status Filters & Invoice Type Filter based on Status selection,4
C36819, Yes, Regular Regression,More - Status Filters & Invoice Type Filter based on Status selection,4
C36820, No, Regular Regression,More - Status Filters & Invoice Type Filter based on Status selection,4
C36821, No, Regular Regression,More - Status Filters & Invoice Type Filter based on Status selection,4
C36822, No, Regular Regression,More - Status Filters & Invoice Type Filter based on Status selection,4
C36823, No, Regular Regression,Summary Area,4
C36824, No, Regular Regression,Summary Area,4
C36825, No, Regular Regression,Summary Area,4
C33904, No, Regular Regression,Roll Up Line1,6
C33905, No, Regular Regression,Roll Up Line2,6
C33908, No, Regular Regression,Roll Up Line1,6
C33909, No, Regular Regression,Roll Up Line2,6
C36826, No, Regular Regression,Result Table Data,4
C36827, No, Regular Regression,Export Invoice Summary,4
C36828, No, Regular Regression,Export Invoice Summary,4
C36829, No, Regular Regression,Export Invoice Detail,4
C36830, No, Regular Regression,Export Invoice Detail,4
C36813, No, Regular Regression,Additional Buttons above the result area,3
C36814, No, Regular Regression,Additional Buttons above the result area,3
C36815, No, Regular Regression,Additional Buttons above the result area,3
C36816, No, Regular Regression,Additional Buttons above the result area,3
C36817, No, Regular Regression,Additional Buttons above the result area,3
C36831, No, Regular Regression,Additional Links in the customer header section,3
C36832, No, Regular Regression,Additional Links in the customer header section,3
C36833, No, Regular Regression,Additional Links in the customer header section,3
C36834, No, Regular Regression,Additional Links in the customer header section,3
C36835, No, Regular Regression,Additional Links in the customer header section,3
C39425, Yes, Regular Regression,C-AR - Customer Invoice Detail Page,2
C37108, No, Regular Regression,Header,3
C37109, No, Regular Regression,Header,3
C37110, No, Regular Regression,Header,3
C37111, No, Regular Regression,Header,3
C37112, No, Regular Regression,Header,3
C37113, No, Regular Regression,Header,3
C37114, No, Regular Regression,Header,3
C37115, No, Regular Regression,Header,3
C37116, No, Regular Regression,Buttons on the Header section,4
C37117, No, Regular Regression,Buttons on the Header section,4
C37118, No, Regular Regression,Buttons on the Header section,4
C37119, No, Regular Regression,Buttons on the Header section,4
C37120, No, Regular Regression,Buttons on the Header section,4
C37121, No, Regular Regression,Body,3
C37122, No, Regular Regression,Recent Activity Section,4
C37123, No, Regular Regression,Recent Activity Section,4
